keys,en,zh,de
TUTORIAL_first_mission,Congratulations on completing your first mission! Check the journal for story details.,恭喜完成第一項任務！打開日記查看細節。,"Herzlichen Glückwunsch zum Abschluss deiner ersten Mission! Schau im Tagebuch nach, um Einzelheiten zur Geschichte zu erfahren."
TUTORIAL_first_skill_check,Skill checks are based on your abilities. Improving skills unlocks more options.,技能檢定取決於能力值。提升能力可解鎖更多選項。,Fähigkeitsüberprüfungen basieren auf deinen Fähigkeiten. Durch die Verbesserung der Fähigkeiten werden mehr Optionen freigeschaltet.
TUTORIAL_first_gloria_intervention,Gloria's moral blackmail has arrived! Complaining too much triggers her intervention.,抱怨太多會引來 Gloria 的道德勒索，她稱之為指導。,Glorias moralische Erpressung ist da! Sich zu viel zu beschweren löst ihr Eingreifen aus.
TUTORIAL_first_entropy_surge,Rising entropy means the world is accelerating toward collapse. This is the price of 'saving the world'.,熵值升高代表世界正在加速崩解，拯救的代價無處不在。,"Steigende Entropie bedeutet, dass die Welt immer schneller zusammenbricht. Das ist der Preis für die „Rettung der Welt“."
TUTORIAL_first_night_cycle,During the night you can explore teammate relationships or engage in self-reflection.,夜幕降臨時，可以探索隊友關係，也能進行自我反省。,Während der Nacht kannst du die Beziehungen zwischen Teamkollegen erkunden oder sich selbst reflektieren.
# Achievement Texts,,,
ACHIEVEMENT_first_mission_TITLE,First Mission,初次任務,Erste Mission
ACHIEVEMENT_first_mission_DESC,Complete your first mission,完成第一個任務,Schließe deine erste Mission ab
ACHIEVEMENT_reality_seeker_TITLE,Reality Seeker,現實追尋者,Realitätssucher
ACHIEVEMENT_reality_seeker_DESC,Reach Reality Score of 80 or higher,達到80以上的現實感知值,Erreiche einen Reality Score von 80 oder höher
ACHIEVEMENT_reality_crisis_TITLE,Reality Crisis,現實危機,Realitätskrise
ACHIEVEMENT_reality_crisis_DESC,Reality Score drops below 20,現實感知值降到20以下,Der Reality Score fällt unter 20
ACHIEVEMENT_positive_resistance_TITLE,Positive Resistance,正能量抗體,Positiver Widerstand
ACHIEVEMENT_positive_resistance_DESC,Keep Positive Energy below 30,保持正能量指數在30以下,Halte die positive Energie unter 30
ACHIEVEMENT_positive_victim_TITLE,Positive Victim,正能量受害者,Positives Opfer
ACHIEVEMENT_positive_victim_DESC,Positive Energy reaches 90 or higher,正能量指數達到90以上,Positive Energie erreicht 90 oder höher
ACHIEVEMENT_entropy_witness_TITLE,Entropy Witness,熵增見證者,Zeuge der Entropie
ACHIEVEMENT_entropy_witness_DESC,Entropy Level reaches 100,熵增等級達到100,Entropielevel erreicht 100
ACHIEVEMENT_diary_keeper_TITLE,Diary Keeper,日記守護者,Tagebuchhalter
ACHIEVEMENT_diary_keeper_DESC,Record 10 journal entries,在日記中記錄10條條目,Notiere 10 Tagebucheinträge
ACHIEVEMENT_master_complainer_TITLE,Master Complainer,抱怨大師,Meister-Beschwerdeführer
ACHIEVEMENT_master_complainer_DESC,Trigger Gloria's moral blackmail 3 times,觸發Gloria的道德勒索3次,Löse dreimal Glorias moralische Erpressung aus
ACHIEVEMENT_faithful_noodler_TITLE,Faithful Noodler,虔誠麵神徒,Treuer Nudeler
ACHIEVEMENT_faithful_noodler_DESC,Pray to the Flying Spaghetti Monster 10 times,向飛天意粉神祈禱10次,Bete 10 Mal zum Fliegenden Spaghettimonster
ACHIEVEMENT_skill_master_TITLE,Skill Master,技能大師,Fähigkeitsmeister
ACHIEVEMENT_skill_master_DESC,Raise any skill to 10,將任何技能提升到10,Erhöhe eine beliebige Fertigkeit auf 10
ACHIEVEMENT_survivor_TITLE,Survivor,倖存者,Überlebende
ACHIEVEMENT_survivor_DESC,Complete 10 missions,完成10個任務,Schließe 10 Missionen ab
ACHIEVEMENT_veteran_TITLE,Veteran,老兵,Veteran
ACHIEVEMENT_veteran_DESC,Complete 50 missions,完成50個任務,Schließe 50 Missionen ab
ACHIEVEMENT_logic_master_TITLE,Logic Master,邏輯大師,Logikmeister
ACHIEVEMENT_logic_master_DESC,Successfully pass 10 Logic checks,成功完成10次邏輯檢定,Bestehe 10 Logikprüfungen erfolgreich
ACHIEVEMENT_perception_expert_TITLE,Perception Expert,觀察專家,Wahrnehmungsexperte
ACHIEVEMENT_perception_expert_DESC,Successfully pass 10 Perception checks,成功完成10次感知檢定,Bestehe erfolgreich 10 Wahrnehmungsprüfungen
ACHIEVEMENT_balanced_mind_TITLE,Balanced Mind,平衡心智,Ausgeglichener Geist
ACHIEVEMENT_balanced_mind_DESC,Keep both Reality and Positive Energy between 40-60,保持現實值和正能量都在40-60之間,Halte sowohl die Realität als auch die positive Energie zwischen 40 und 60
ACHIEVEMENT_moral_philosopher_TITLE,Moral Philosopher,道德哲學家,Moralphilosoph
ACHIEVEMENT_moral_philosopher_DESC,Face and resolve your first moral dilemma,面對並解決第一個道德困境,Stelle dich deinem ersten moralischen Dilemma und löse es
ACHIEVEMENT_trolley_conductor_TITLE,Trolley Conductor,電車調度員,Trolley-Schaffner
ACHIEVEMENT_trolley_conductor_DESC,Resolve 5 moral dilemmas,解決5個道德困境,Löse 5 moralische Dilemmata
ACHIEVEMENT_complicit_TITLE,Complicit,共犯,Mitschuldig
ACHIEVEMENT_complicit_DESC,Resolve 10 moral dilemmas and become complicit in the disasters,解決10個道德困境，成為災難的共犯,Löse 10 moralische Dilemmata und mach dich an den Katastrophen mitschuldig
ACHIEVEMENT_tutorial_master_TITLE,Tutorial Master,教程達人,Tutorial-Meister
ACHIEVEMENT_tutorial_master_DESC,Complete all tutorial hints,完成所有教程提示,Vervollständige alle Tutorial-Hinweise
# UI Labels,,,
UI_ACHIEVEMENT_SYSTEM_NOT_CONFIGURED,Achievement System Not Configured,成就系統未配置,Leistungssystem nicht konfiguriert
ACHIEVEMENT_PROGRESS_SUMMARY,Achievement Progress: %d/%d (%.1f%%),成就進度：%d/%d (%.1f%%),Erfolgsfortschritt: %d/%d (%.1f%%)
ACHIEVEMENT_UNLOCKED_AT_LABEL,Unlocked:,解鎖於：,Freigeschaltet:
ACHIEVEMENT_SETUP_TITLE, Setup Required, 需要設定,Einrichtung erforderlich
ACHIEVEMENT_SETUP_BODY,"[b]The Achievement System is not loaded.[/b]\n\n[color=#ffaa88]To enable achievements:[/color]\n\n1. Open [b]Project → Project Settings[/b] in Godot\n2. Go to the [b]Autoload[/b] tab\n3. Click [b]Add[/b]\n4. Set the path to: [b]res://1.Codebase/src/scripts/core/achievement_system.gd[/b]\n5. Set the Node Name to: [b]AchievementSystem[/b]\n6. Click [b]Add[/b] to confirm\n7. Rebirths the game\n\n[color=#88ff88]After setup, you'll be able to track achievements like:[/color]\n• Mission completions\n• Skill masteries\n• Stat milestones\n• And many more!",[b]成就系統未載入。[/b]\n\n[color=#ffaa88]設定步驟：[/color]\n\n1. 在 Godot 中打開 [b]Project → Project Settings[/b]\n2. 進入 [b]Autoload[/b] 標籤\n3. 點擊 [b]Add[/b]\n4. 選擇: [code]res://1.Codebase/src/scripts/core/achievement_system.gd[/code]\n5. 設定名稱為 [b]AchievementSystem[/b]\n6. 勾選 [b]Enable[/b]\n7. 重新啟動場景。\n\n[color=#aaffaa]成就系統將自動初始化並追蹤進度。[/color],[b]Das Erfolgssystem ist nicht geladen.[/b]\n\n[color=#ffaa88]So aktiviere Erfolge:[/color]\n\n1. Öffne [b]Projekt → Projekteinstellungen[/b] in Godot\n2. Gehen Sie zur Registerkarte [b]Autoload[/b]\n3. Klicken Sie auf [b]Hinzufügen[/b]\n4. Legen Sie den Pfad fest auf: [b]res://1.Codebase/src/scripts/core/achievement_system.gd[/b]\n5. Setzen Sie den Knotennamen auf: [b]AchievementSystem[/b]\n6. Klicken Sie zur Bestätigung auf [b]Hinzufügen[/b]\n7. Belebt das Spiel neu\n\n[color=#88ff88]Nach der Einrichtung kannst du Erfolge verfolgen wie:[/color]\n• Missionsabschlüsse\n• Fertigkeitsmeisterungen\n• Statistik-Meilensteine\n• Und viele mehr!
ACHIEVEMENT_HINT_FIRST_MISSION,Complete any mission,完成任務一次,Schließe eine beliebige Mission ab
ACHIEVEMENT_HINT_SURVIVOR,Progress: %d/10 missions,進度：%d/10 個任務,Fortschritt: %d/10 Missionen
ACHIEVEMENT_HINT_VETERAN,Progress: %d/50 missions,進度：%d/50 個任務,Fortschritt: %d/50 Missionen
ACHIEVEMENT_HINT_DIARY_KEEPER,Progress: %d/10 journal entries,進度：%d/10 篇日記,Fortschritt: %d/10 Journaleinträge
ACHIEVEMENT_HINT_MASTER_COMPLAINER,Progress: %d/3 Gloria triggers,進度：%d/3 次 Gloria 觸發,Fortschritt: %d/3 Gloria-Auslöser
ACHIEVEMENT_HINT_FAITHFUL_NOODLER,Progress: %d/10 prayers,進度：%d/10 次祈禱,Fortschritt: %d/10 Gebete
ACHIEVEMENT_HINT_LOGIC_MASTER,Progress: %d/10 logic checks,進度：%d/10 次邏輯檢定,Fortschritt: %d/10 Logikprüfungen
ACHIEVEMENT_HINT_PERCEPTION_EXPERT,Progress: %d/10 perception checks,進度：%d/10 次洞察檢定,Fortschritt: %d/10 Wahrnehmungsprüfungen
ACHIEVEMENT_HINT_REALITY_SEEKER,Current reality: %d/80,目前現實值：%d/80,Aktuelle Realität: %d/80
ACHIEVEMENT_HINT_REALITY_CRISIS,Current reality: %d (need <20),目前現實值：%d（需低於 20）,Aktuelle Realität: %d (Bedarf <20)
ACHIEVEMENT_HINT_POSITIVE_RESISTANCE,Current positive energy: %d (keep under 30),目前正能量：%d（保持低於 30）,Aktuelle positive Energie: %d (unter 30 bleiben)
ACHIEVEMENT_HINT_POSITIVE_VICTIM,Current positive energy: %d/90,目前正能量：%d/90,Aktuelle positive Energie: %d/90
ACHIEVEMENT_HINT_ENTROPY_WITNESS,Current entropy: %d/100,目前熵值：%d/100,Aktuelle Entropie: %d/100
ACHIEVEMENT_HINT_SKILL_MASTER,Highest skill: %d/10,最高技能：%d/10,Höchste Fähigkeit: %d/10
ACHIEVEMENT_HINT_BALANCED_MIND,"Keep both 40-60 (Reality:%d, Positive:%d, Turns:%d/5)",維持 40-60 區間（現實:%d，正能量:%d，回合:%d/5）,"Behalte beide 40-60 (Realität:%d, Positiv:%d, Runden:%d/5)"
UI_JOURNAL_DESCRIPTION,Record your observations and doubts or choose preset responses.,記錄你的觀察、思想和疑慮，或選擇預設回應。,Notiere deine Beobachtungen und Zweifel oder wähle voreingestellte Antworten.
UI_JOURNAL_ENTRY_PROMPT,What happened today?,今天發生了什麼？,Was ist heute passiert?
UI_JOURNAL_BUTTON_FRUSTRATED,Frustrated,沮喪,Frustriert
UI_JOURNAL_BUTTON_HOPELESS,Hopeless,絕望,Hoffnungslos
UI_JOURNAL_BUTTON_ANGRY,Angry,憤怒,Wütend
UI_JOURNAL_BUTTON_CONFUSED,Confused,困惑不解,Verwirrt
UI_JOURNAL_BUTTON_TIRED,Exhausted,疲憊不堪,Erschöpft
UI_JOURNAL_BUTTON_CUSTOM,Write my own,自己撰寫,Schreib mein eigenes
UI_CLOSE_BUTTON,CLOSE,關閉,SCHLIESSEN
PLACEHOLDER_NO_ASSETS,(No symbolic assets assigned yet.),(尚未分配象徵性資源。),(Noch keine symbolischen Assets zugewiesen.)
# Intro Page,,,
INTRO_CHAPTERS,Chapters,章節,Kapitel
INTRO_CHAPTER_1,Act I,第一章,Akt I
INTRO_CHAPTER_2,Act II,第二章,Akt II
INTRO_CHAPTER_3,Act III,第三章,Akt III
INTRO_CHAPTER_4,Act IV,第四章,Akt IV
INTRO_TITLE,GAME INTRODUCTION - HOW TO PLAY,遊戲介紹 - 如何遊玩,SPIELEINFÜHRUNG – WIE MAN SPIELT
INTRO_BODY,"Welcome to Glorious Deliverance Agency 1 (GDA1)!\n\nIn this game, you will experience a world ruled by the ""Flying Spaghetti Monster"" cult and toxic positive energy culture. As one of the few who maintains reality perception, you need to:\n\n• Stay sane during absurd missions\n• Resist teammates' ""positive energy"" interference\n• Face disasters with logic and reason\n• Record true feelings in your journal\n\nGame Features:\n- Dark humor and satirical narrative\n- AI-driven dynamic story generation\n- Reality perception system (staying awake is important!)\n- Teammate interference mechanics (they make things worse)\n- Flying Spaghetti Monster prayer system (be careful what you wish for)\n\nRemember: In this world, ""success"" often means greater disaster.\nStay skeptical, stay awake, good luck!\n\nOn the web build, saves are stored in your browser's local storage (IndexedDB). Desktop builds use the standard Godot data directory.",歡迎來到光榮拯救機構 1（GDA1）！\n\n在這個遊戲中，你將體驗一個被「飛天意粉神教」和有毒正能量文化統治的世界。作為少數保持現實感知的人之一，你需要：\n\n• 在荒謬的任務中保持清醒\n• 抵抗隊友的「正能量」干擾\n• 用邏輯和理性面對災難\n• 在日記中記錄真實感受\n\n遊戲特色：\n- 黑色幽默與諷刺敘事\n- AI 驅動的動態故事生成\n- 現實感知系統（保持清醒很重要！）\n- 隊友干擾機制（他們會讓事情更糟）\n- 飛天意粉神禱告系統（小心你的願望）\n\n記住：在這個世界裡，「成功」往往意味著更大的災難。\n保持懷疑，保持清醒，祝你好運！\n\n網頁版會將存檔保存在瀏覽器的本機儲存空間（IndexedDB），桌面版則使用 Godot 預設的資料夾。,"Willkommen bei Glorious Deliverance Agency 1 (GDA1)!\n\nIn diesem Spiel erlebst du eine Welt, die vom Kult des „Fliegenden Spaghettimonsters“ und einer giftigen Kultur positiver Energie regiert wird. Als einer der wenigen, die die Wahrnehmung der Realität aufrechterhalten, müssen Sie:\n\n• Bei absurden Missionen den Verstand behalten\n• Den Einmischungen deiner Teamkollegen durch „positive Energie“ widerstehen\n• Katastrophen mit Logik und Vernunft begegnen\n• Wahre Gefühle in deinem Tagebuch aufzeichnen\n\nSpielfunktionen:\n- Schwarzer Humor und satirische Erzählung\n- KI-gesteuerte dynamische Story-Generierung\n- Realitätswahrnehmungssystem (wach bleiben ist wichtig!)\n- Teamkollegen-Eingriffsmechanik (sie machen Dinge). Schlimmer noch)\n- Gebetssystem des fliegenden Spaghettimonsters (seien Sie vorsichtig, was Sie sich wünschen)\n\nDenken Sie daran: In dieser Welt bedeutet „Erfolg“ oft eine größere Katastrophe.\nBleib skeptisch, Bleib wach, viel Glück!\n\nBeim Web-Build werden die Speicherungen im lokalen Speicher deines Browsers (IndexedDB) gespeichert. Desktop-Builds verwenden das Standard-Godot-Datenverzeichnis."
INTRO_BUTTON_CHARACTERS,VIEW CHARACTERS,查看角色介紹,CHARAKTERE ANZEIGEN
INTRO_BUTTON_CLOSE,BACK TO MAIN MENU,返回主選單,ZURÜCK ZUM HAUPTMENÜ
# Mission/Story Text,,,
STORY_MISSION_GENERATION_INSTRUCTION,Create a new mission scenario for the player.,為玩家創建一個新的任務情景。,Erstellen Sie ein neues Missionsszenario für den Spieler.
STORY_PRAYER_RESPONSE,The Flying Spaghetti Monster has heard your prayer... maybe.,飛行面條怪聽到了你的祈禱... 也許。,Das Fliegende Spaghettimonster hat Ihr Gebet erhört ... vielleicht.
# Trolley Problem Dilemma - Team Strategy Discussion,,,
DILEMMA_TEAM_STRATEGY_SCENARIO,The team is discussing strategy. Gloria proposes an optimistic plan but ARK points out its logical flaws.,團隊正在討論策略。Gloria 提出了一個樂觀的計劃，但 ARK 指出了其中的邏輯缺陷。,"Das Team bespricht die Strategie. Gloria schlägt einen optimistischen Plan vor, aber ARK weist auf seine logischen Mängel hin."
DILEMMA_TEAM_STRATEGY_CHOICE_POSITIVE, Support Gloria's optimistic plan and stay positive., 支持 Gloria 的樂觀計劃，保持積極。,Unterstützen Sie Glorias optimistischen Plan und bleiben Sie positiv.
DILEMMA_TEAM_STRATEGY_CHOICE_POSITIVE_IMMEDIATE,Team feels better and Gloria gains confidence.,團隊感覺更好，Gloria 增加信心。,Das Team fühlt sich besser und Gloria gewinnt an Selbstvertrauen.
DILEMMA_TEAM_STRATEGY_CHOICE_POSITIVE_LONGTERM,Plan fails due to logical flaws but team stays positive missing improvement opportunities.,計劃因邏輯缺陷失敗，但團隊保持積極，錯過了改進機會。,"Der Plan scheitert an logischen Fehlern, aber das Team bleibt positiv und verpasst Verbesserungsmöglichkeiten."
DILEMMA_TEAM_STRATEGY_CHOICE_REALISTIC, Support ARK's critical analysis and face reality., 支持 ARK 的批判性分析，面對現實。,Unterstützen Sie die kritische Analyse von ARK und stellen Sie sich der Realität.
DILEMMA_TEAM_STRATEGY_CHOICE_REALISTIC_IMMEDIATE,Gloria feels criticized and team morale drops.,Gloria 感到被批評，團隊士氣下降。,Gloria fühlt sich kritisiert und die Moral im Team sinkt.
DILEMMA_TEAM_STRATEGY_CHOICE_REALISTIC_LONGTERM,Team learns critical thinking but may strain relationship with Gloria.,團隊學會批判性思考，但可能與 Gloria 關係緊張。,"Das Team lernt kritisches Denken, könnte aber die Beziehung zu Gloria belasten."
DILEMMA_TEAM_STRATEGY_THEME,Sometimes honesty is punished while toxic positivity is rewarded.,有時誠實會受到懲罰，而毒性積極性卻得到獎勵。,"Manchmal wird Ehrlichkeit bestraft, während toxische Positivität belohnt wird."
JOURNAL_PRESET_FRUSTRATED,"I feel frustrated. No matter how logically I plan, the team still ruins everything.","我感到沮喪。無論我如何邏輯地規劃,團隊仍然毀掉一切。","Ich bin frustriert. Egal wie logisch ich plane, das Team macht trotzdem alles kaputt."
JOURNAL_PRESET_HOPELESS,I feel hopeless. Can this world even be saved? Positive-energy dogma has already wrecked it all.,我感到絕望。這個世界還能被拯救嗎?正能量教條已經毀了一切。,Ich fühle mich hoffnungslos. Kann diese Welt überhaupt gerettet werden? Das Dogma der positiven Energie hat bereits alles ruiniert.
JOURNAL_PRESET_ANGRY,I'm furious. Why won't anyone face reality? Why is admitting the problem so hard?,我非常憤怒。為什麼沒人願意面對現實?為什麼承認問題這麼難?,"Ich bin wütend. Warum stellt sich niemand der Realität? Warum ist es so schwer, das Problem einzugestehen?"
JOURNAL_PRESET_CONFUSED,"I'm confused. Positive-energy thinking causes so much disaster, yet people still believe in it.","我很困惑。正能量思維造成如此多的災難,但人們仍然相信它。","Ich bin verwirrt. Positives Energiedenken verursacht so viel Unheil, und doch glauben die Menschen immer noch daran."
JOURNAL_PRESET_EXHAUSTED,I'm exhausted. Fighting these absurd catastrophes every day is draining me dry.,我筋疲力盡。每天與這些荒謬的災難作鬥爭讓我心力交瘁。,Ich bin erschöpft. Der tägliche Kampf gegen diese absurden Katastrophen erschöpft mich.
JOURNAL_SAVE_FAILED,Failed to save journal. Check permissions.,"日記保存失敗,請檢查權限。",Das Speichern des Journals ist fehlgeschlagen. Überprüfe die Berechtigungen.
JOURNAL_EMPTY_STATE,No diary entries yet.\nRecording your feelings helps restore reality.,還沒有日記條目。\n記錄你的感受有助於恢復現實。,"Noch keine Tagebucheinträge.\nDas Aufzeichnen Ihrer Gefühle hilft dabei, die Realität wiederherzustellen."
JOURNAL_REALITY_GAIN,+%d Reality,+%d 現實值,+%d Realität
JOURNAL_AI_PROMPT_ROLE,You are the player's brutally honest inner analyst in the satirical world of GDA1.,你是身處 GDA1 諷刺世界裡的玩家內心分析者。,Sie sind der brutal ehrliche innere Analyst des Spielers in der satirischen Welt von GDA1.
JOURNAL_AI_PROMPT_OBJECTIVE,Help the player vent about forced positivity while acknowledging the hard facts below.,請依據下面的情境，提供能讓玩家誠實抒發、揭露正能量教條矛盾的反思提示。,"Helfen Sie dem Spieler, über erzwungene Positivität Luft zu machen, und berücksichtigen Sie dabei die folgenden harten Fakten."
JOURNAL_AI_PROMPT_MISSION_HEADER,Mission excerpt:,劇情摘錄：,Missionsauszug:
JOURNAL_AI_PROMPT_EVENTS_HEADER,Recent events:,近期事件：,Aktuelle Ereignisse:
JOURNAL_AI_PROMPT_STATS_HEADER,Player stats:,玩家狀態：,Spielerstatistiken:
JOURNAL_AI_PROMPT_STAT_REALITY,- Reality score: %d,- 現實值：%d,- Realitätswert: %d
JOURNAL_AI_PROMPT_STAT_POSITIVE,- Positive energy: %d,- 正能量：%d,- Positive Energie: %d
JOURNAL_AI_PROMPT_STAT_ENTROPY,- Entropy level: %d,- 熵值：%d,- Entropieniveau: %d
JOURNAL_AI_PROMPT_JSON_RULE,"Return ONLY valid JSON (double quotes, UTF-8, no code fences, no commentary).",只回傳有效 JSON（使用雙引號、UTF-8，不可加入 Markdown 或額外說明）。,"Geben Sie NUR gültiges JSON zurück (doppelte Anführungszeichen, UTF-8, keine Code-Zäune, kein Kommentar)."
JOURNAL_AI_PROMPT_STRUCTURE,Use exactly this structure:,結構如下：,Verwenden Sie genau diese Struktur:
JOURNAL_AI_PROMPT_TEMPLATE_TEXT,"    {""text"": ""<=%d words reflection""}","    {""text"": ""不超過 %d 字的反思""}","{""text"": ""<=%d Wörter Reflexion""}"
JOURNAL_AI_PROMPT_FINAL_INSTRUCTION,"Provide exactly %d suggestions. Each must stand alone, stay within %d words, avoid emojis, and highlight the clash between reality and mandated optimism.",請輸出剛好 %d 則提示，每則維持黑色幽默與同理心，並點出現實與正能量教條的衝突，長度不得超過 %d 個字。,"Geben Sie genau %d Vorschläge an. Jeder muss für sich stehen, innerhalb von %d Wörtern bleiben, Emojis vermeiden und den Konflikt zwischen Realität und vorgeschriebenem Optimismus hervorheben."
JOURNAL_FALLBACK_SUGGESTION_1,Document how the team's 'positivity' twisted the mission into chaos.,寫下所謂的正能量如何把任務推向崩壞。,"Dokumentieren Sie, wie die „Positivität“ des Teams die Mission ins Chaos stürzte."
